,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
421,7/21/2005 8:51,1121932305,ebay,34.87,-36.22896854,1227.040039,20.269745454694434,-56.498714,2.566,57.54,13.26,6.5,23.53,31.81,9.37,13.26,2.669,47040000000,45030000000,34.87,1.62,12.7,32.03,12.7,2660000000,32.03,834410000,0.61,28.1,36.4,2020000000,1.494,2.566,2.566,5.364,1410000000,2.1,18.25,62.4,39490000,2.2,3.9,38440000,underperform
422,1/11/2005 1:21,1105402877,ecl,34.03,0,1182.98999,0,0,0.472,28.96,2.14,5.91,7.54,12.91,9.18,22.76,15.589,8770000000,9320000000,25.59,2.34,2.29,12.15,2.29,1920000000,12.15,306680000,1.175,32.2,10.5,72100000,0.28,694690000,1.308,5.711,547090000,0.616,17.46,54.33,4860000,7.894,2.29,5350000,underperform
423,4/6/2011 12:14,1302092052,ecl,52.01,52.83573317660887,1335.540039,12.89529499738201,39.94043817922686,39.64,23.32,1.99,5.68,8.71,13.37,10.29,25.64,26.09,12620000000,12620000000,18.19,1.57,2.07,10.86,2.07,3080000000,10.86,530299999.99999994,2.23,13.4,0.7,242300000,1.04,845600000,1.41,9.16,12620000000,0.7,0.26,82.2,3480000,1.9,1.5,2930000,outperform
424,11/16/2004 13:23,1100607835,ed,45.11,5.249650023331777,1175.430054,5.299796012,-0.050145988,0.989,19.9,1.11,1.39,5.53,12.4,2.55,7.97,42.427,10920000000,18310000000,16,8.55,1.85,10.3,1.85,3420000000,10.3,534000000,2.267,19.8,15.9,70000000,0.29,7240000000,1.138,32.537998,1560000000,0.068,0.54,41.89,9610000,14.969,3.99,9170000,underperform
425,9/27/2011 11:47,1317120423,ed,56.79,32.50116658889407,1175.380005,5.295312419122396,27.205854169771676,93.23,15.6,1.26,1.48,8.04,16.86,3.95,9.61,45.54,26830000000,26830000000,15.39,4.5,2.03,8.7,2.03,7590000000,8.7,1060000000,3.64,9.8,0.8,492000000,1.68,10690000000,1.3,38.42,26830000000,0.21,0.09,41.4,13470000,3.6,4.6,13920000,outperform
426,12/29/2011 6:29,1325136542,ed,62.19,45.10032664489034,1263.02002,13.146460746119477,31.95386589877086,91.58,16.75,1.4,1.6,8.34,17.34,3.95,9.71,44.9,28590000000,28590000000,16.76,4.73,2.18,9.09,2.18,7590000000,9.09,1090000000,3.71,9.4,2.1,398000000,1.36,10680000000,1.17,39.11,3570000000,0.24,0.09,41.4,10750000,6.2,3.7,10700000,outperform
427,10/15/2004 0:30,1097796605,efx,26,0,1108.199951,0,0,1.707,16.83,2.76,8.03,16.82,25.83,13.24,55.84,9.172,3410000000,4120000000,15.29,1.62,3.32,10.03,3.32,712500000,10.03,208500000,1.545,7.4,10.5,24900000,0.19,725900000,1.115,3.239,306700000,0.794,0.08,76.68,4019999.9999999995,10.612,3.07,3800000,underperform
428,1/26/2005 16:43,1106754214,efx,27.95,7.499999999999997,1174.069946,5.943872758752722,1.5561272412472755,1.476,17.96,2.92,7.92,16.64,26.08,13.4,52.04,9.337,3640000000,4310000000,16.44,1.86,3.44,10.5,3.44,712500000,10.5,208400000,1.556,7.4,10.5,22700000,0.17,680800000,0.579,3.546,308300000,0.902,0.38,78.96,3530000,7.346,2.72,4010000,outperform
429,3/8/2005 20:08,1110308933,efx,30.85,18.65384615384616,1219.430054,10.037006670107663,8.616839483738497,1.249,17.44,3.18,7.73,18.64,29.53,15.49,50.48,9.534,3990000000,4650000000,16.41,1.78,3.65,10.17,3.65,712500000,10.17,237300000,1.77,7.4,10.5,52100000,0.4,654200000,0.656,4.046,308300000,0.885,0.39,78.19,3420000,5.08,2.65,3530000,outperform
430,7/18/2011 4:56,1310961383,efx,34.37,32.19230769230768,1305.439941,17.798231250779043,14.394076441528636,57.38,16.14,2.22,2.4,14.15,23.02,7.79,14.37,15.24,5160000000,5160000000,12.54,1.3,2.73,8.56,2.73,1100000000,8.56,238500000,2.13,1.1,6.7,86900000,0.71,1020000000,1.41,14.23,5160000000,1.05,6.63,77.4,1280000,1.2,1.1,1780000,outperform
431,4/14/2004 6:30,1081920654,eix,22.8,8.262108262108272,1128.170044,5.629939216164534,2.632169045943739,2.691,9.64,0.63,1.42,6.42,14.76,2.21,15.81,36.884,7430000000,20050000000,13.49,2.8,1.65,6.74,1.65,8289999999.999999,6.74,779000000,2.366,15.2,0.5,2200000000,6.75,14480000000,0.819,16.521999,3850000000,0.132,14,69.98,5990000,4.101,2.14,6170000,outperform
432,8/23/2004 5:08,1093234088,eix,27.15,28.917378917378915,1095.680054,2.5879193654461816,26.329459551932732,3.207,21.53,0.74,1.76,3.52,11.18,1.18,8.18,36.308,8850000000,22360000000,13.71,3.16,1.88,8.69,1.88,8010000000,8.69,419000000,1.261,31.1,5.6,2600000000,15990000000,15990000000,1.149,15.306,2950000000,0.134,14,70.72,8740000,5.157,3.12,7200000,outperform
433,1/11/2005 6:16,1105420608,eix,31.01,47.24596391263059,1182.98999,10.762700535798926,36.483263376831665,2.194,190.25,0.97,1.79,0.56,9.75,0.16,1.08,31.491,10100000000,20170000000,14.36,3.5,1.95,9.81,1.95,8010000000,9.81,58000000,0.163,31.1,5.6,2430000000,7.47,12390000000,1.167,17.334999,906000000,0.079,14,71.36,6620000,5.739,2.36,6620000,outperform
434,4/5/2005 5:41,1112679702,eix,35.63,69.18328584995254,1181.390015,10.61289576,58.57039009127584,1.75,52.01,1.12,1.89,3.61,10.79,1.07,4.06,30.906,11610000000,19440000000,14.72,3.12,1.91,9.16,1.91,8010000000,9.16,226000000,0.69,31.1,5.6,2690000000,8.25,10580000000,1.35,18.566,906000000,0.101,14,71.76,5720000,3.499,2.04,5060000,outperform
435,6/22/2004 9:05,1087891521,el,47.05,24.767966056748865,1134.410034,7.640267756023862,17.1276983,0.513,31.02,1.91,6.53,6.53,10.72,9.95,23.01,24.227,10690000000,10670000000,24.63,2.12,1.9,13.55,1.9,3780000000,13.55,351300000,1.517,66.6,7.9,867800000,3.82,841600000,1.928,7.222,682200000,0.82,47.06,40.83,4840000,5.667,4.02,4460000,outperform
436,8/15/2011 0:22,1313364168,el,100.85,167.43569345001325,1204.48999,14.289913829385705,153.14577962062754,48.54,29.74,2.25,7.72,7.96,13.69,12.26,29.62,43.51,19950000000,19950000000,23.08,2.24,2.32,13.71,2.32,5970000000,13.71,683600000,3.39,116.9,16.4,1100000000,5.59,1230000000,1.88,12.73,19950000000,1.46,1.88,57.1,2680000,2.7,2.3,2840000,outperform
437,12/29/2011 1:50,1325119834,emc,21.43,65.99535243996901,1263.02002,13.589104433843623,52.40624800612539,18.22,21.32,2.28,2.47,11.69,17.73,6.98,13.15,9.37,42810000000,42810000000,12.53,0.87,2.22,9.59,2.22,10030000000,9.59,2260000000,1,28.2,18.2,4760000000,2.33,3430000000,1,8.78,5000000000,0.91,0.25,82.1,85040000,4.3,4.1,69990000,outperform
438,1/3/2012 15:23,1325600584,emc,21.89,69.55848179705654,1277.060059,14.851788659724885,54.706693137331655,18.22,21.78,2.27,2.45,11.69,17.73,6.98,13.15,9.37,42610000000,42610000000,12.8,0.85,2.21,9.54,2.21,10030000000,9.54,2260000000,1,28.2,18.2,4760000000,2.33,3430000000,1,8.78,5000000000,0.91,0.25,82.1,88890000,4.4,4.3,85040000,outperform
439,1/20/2005 15:14,1106230476,emn,52.08,18.90410959,1175.410034,3.2773676965851366,15.626741892455962,1.989,32.31,0.63,3.88,1.98,2.64,2.16,12.33,81.723,4050000000,5920000000,14.8,2.28,0.93,11.88,0.93,810000000,11.88,126000000,1.612,542.6,9,179000000,2.3,2069999999.9999998,1.636,13.358,499000000,0.903,0.1,82.64,2630000,4.38,3.38,2460000,outperform
